Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/01/2021 00:00,42.04618,53.71285,0,173.2163,6.527055,0.071407,0.071407,1,11.66667,11.66667,0,0,0,53.71285,0,0,74.99176,0,74.99176,0,,59.993408
01/01/2021 01:00,41.8793,41.8793,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,41.8793,0,0,62.56653,0,62.56653,0,,50.053224
01/01/2021 02:00,40.70311,54.03644,0,173.2163,6.527055,0.071407,0.071407,1,13.33333,13.33333,0,0,0,54.03644,0,0,75.33153,0,75.33153,0,,60.265224
01/01/2021 03:00,38.56025,61.06025,0,173.2163,6.527055,0.071407,0.071407,1,22.5,22.5,0,0,0,61.06025,0,0,82.70653,0,82.70653,0,,66.165224
01/01/2021 04:00,38.57455,86.07455,0,173.2163,6.527055,0.071407,0.071407,1,47.5,47.5,0,0,0,86.07455,0,0,108.9715,0,108.9715,0,,87.1772
01/01/2021 05:00,45.42159,45.42159,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,45.42159,0,0,66.28594,0,66.28594,0,,53.028752
01/01/2021 06:00,71.43112,151.4311,0,173.2163,6.527055,0.071407,0.071407,1,80,80,0,0,0,151.4311,0,0,177.5959,0,177.5959,0,,142.07672
01/01/2021 07:00,89.10796,121.608,0,173.2163,6.527055,0.071407,0.071407,1,32.5,32.5,0,0,0,121.608,0,0,146.2816,0,146.2816,0,,117.02528
01/01/2021 08:00,70.99796,117.6646,0,173.2163,6.527055,0.071407,0.071407,1,46.66667,46.66667,0,0,0,117.6646,0,0,142.1411,0,142.1411,0,,113.71288
01/01/2021 09:00,66.36709,101.3671,0,173.2163,6.527055,0.071407,0.071407,1,35,35,0,0,0,101.3671,0,0,125.0287,0,125.0287,0,,100.02296
01/01/2021 10:00,49.54942,67.88275,0,173.2163,6.527055,0.071407,0.071407,1,18.33333,18.33333,0,0,0,67.88275,0,0,89.87016,0,89.87016,0,,71.896128
01/01/2021 11:00,49.84872,57.34872,0,173.2163,6.527055,0.071407,0.071407,1,7.5,7.5,0,0,0,57.34872,0,0,78.80943,0,78.80943,0,,63.047544
01/01/2021 12:00,49.51855,76.18522,0,173.2163,6.527055,0.071407,0.071407,1,26.66667,26.66667,0,0,0,76.18522,0,0,98.58775,0,98.58775,0,,78.8702
01/01/2021 13:00,49.32975,131.8298,0,173.2163,6.527055,0.071407,0.071407,1,82.5,82.5,0,0,0,131.8298,0,0,157.0145,0,157.0145,0,,125.6116
01/01/2021 14:00,49.06382,99.06383,0,173.2163,6.527055,0.071407,0.071407,1,50,50,0,0,0,99.06383,0,0,122.6103,0,122.6103,0,,98.08824
01/01/2021 15:00,48.66954,118.6695,0,173.2163,6.527055,0.071407,0.071407,1,70,70,0,0,0,118.6695,0,0,143.1963,0,143.1963,0,,114.55704
01/01/2021 16:00,59.01937,114.0194,0,173.2163,6.527055,0.071407,0.071407,1,55,55,0,0,0,114.0194,0,0,138.3136,0,138.3136,0,,110.65088
01/01/2021 17:00,73.25636,84.0897,0,173.2163,6.527055,0.071407,0.071407,1,10.83333,10.83333,0,0,0,84.0897,0,0,106.8875,0,106.8875,0,,85.51
01/01/2021 18:00,79.95204,119.1187,0,173.2163,6.527055,0.071407,0.071407,1,39.16667,39.16667,0,0,0,119.1187,0,0,143.6679,0,143.6679,0,,114.93432
01/01/2021 19:00,82.47446,100.8078,0,173.2163,6.527055,0.071407,0.071407,1,18.33333,18.33333,0,0,0,100.8078,0,0,124.4415,0,124.4415,0,,99.5532
01/01/2021 20:00,91.10426,104.4376,0,173.2163,6.527055,0.071407,0.071407,1,13.33333,13.33333,0,0,0,104.4376,0,0,128.2527,0,128.2527,0,,102.60216
01/01/2021 21:00,85.90362,100.0703,0,173.2163,6.527055,0.071407,0.071407,1,14.16667,14.16667,0,0,0,100.0703,0,0,123.6671,0,123.6671,0,,98.93368
01/01/2021 22:00,62.26666,62.26666,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,62.26666,0,0,83.97326,0,83.97326,0,,67.178608
01/01/2021 23:00,44.14555,44.14555,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,44.14555,0,0,64.94609,0,64.94609,0,,51.956872
01/02/2021 00:00,42.42213,42.42213,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,42.42213,0,0,63.1365,0,63.1365,0,,50.5092
01/02/2021 01:00,43.55096,43.55096,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,43.55096,0,0,64.32178,0,64.32178,0,,51.457424
01/02/2021 02:00,40.11008,40.11008,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,40.11008,0,0,60.70885,0,60.70885,0,,48.56708
